point_id	scenario	seed	cum_E_adult	cum_E_child	cum_I_adult	cum_I_child	cum_R_adult	cum_R_child	cum_S_adult	cum_S_child	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
4716	baseline	3	7568	7644	48863	49369	424369	426149	24200	21838	0	0	0	1	5000	4999	0	0	1959	2153	3433	3416	5000	4999	5000	4990	5	5	8	8	77	90	0	0
4717	baseline	1	6190	6364	34035	33342	432005	435436	32770	29858	0	0	0	0	5000	5000	0	0	1557	1508	3090	3056	5000	5000	5000	4990	7	7	9	9	71	57	0	0
4717	baseline	2	6378	6306	33433	33918	433548	435745	31641	29031	0	0	0	0	5000	5000	0	0	1512	1557	3020	3114	5000	5000	5000	4990	7	6	9	9	87	65	0	0
4717	baseline	3	6510	6334	33291	33238	433745	436953	31454	28475	0	0	0	0	5000	5000	0	0	1574	1561	3046	3049	5000	5000	5000	4990	7	6	9	8	62	65	0	0
4718	baseline	1	5257	5279	23345	23305	457287	458989	19111	17427	0	0	0	0	5000	5000	0	0	2009	1937	3019	2976	5000	5000	5000	4990	4	4	6	5	44	53	0	0
4718	baseline	2	5453	5227	23345	22895	457102	459147	19100	17731	0	0	0	0	5000	5000	0	0	2012	2016	2989	3073	5000	5000	5000	4990	4	4	6	5	45	48	0	0
4718	baseline	3	5456	5328	23389	23083	458408	460601	17747	15988	0	0	0	0	5000	5000	0	0	2015	1862	3000	3068	5000	5000	5000	4990	4	3	5	5	43	44	0	0
4719	baseline	1	43283	43607	43207	42785	315625	327918	102885	90690	0	0	6	5	4994	4995	0	0	2308	2368	1595	1572	4994	4995	5000	4990	25	23	31	28	100	93	0	0
4719	baseline	2	44325	44171	43020	42697	317471	328933	100184	89199	1	1	5	2	4993	4997	1	0	2342	2421	1570	1631	4993	4997	5000	4990	24	22	30	27	99	100	0	0
4719	baseline	3	44576	43871	43380	42704	319561	330782	97483	87643	1	1	5	0	4994	4999	0	0	2373	2389	1538	1591	4994	4999	5000	4990	24	22	32	29	97	100	0	0
4720	baseline	1	37001	36848	29668	30092	378517	384201	59814	53859	0	0	0	0	5000	5000	0	0	2804	2829	1541	1522	5000	5000	5000	4990	15	13	19	18	84	93	0	0
4720	baseline	2	36826	36551	29860	29857	381674	388241	56640	50351	0	0	0	0	5000	5000	0	0	2784	2863	1525	1582	5000	5000	5000	4990	14	13	18	17	91	94	0	0
4720	baseline	3	37737	37129	29947	29757	380751	387644	56565	50470	0	0	1	0	4999	5000	0	0	2802	2896	1478	1514	4999	5000	5000	4990	14	13	18	18	79	90	0	0
4721	baseline	1	30601	30871	20662	20791	372205	379628	81532	73710	0	0	0	0	5000	5000	0	0	2210	2285	1194	1204	5000	5000	5000	4990	19	18	23	22	82	77	0	0
4721	baseline	2	30534	30863	20826	20717	377044	383916	76596	69504	0	0	0	0	4997	5000	3	0	2189	2327	1169	1246	4997	5000	5000	4990	18	17	22	20	81	75	0	0
4721	baseline	3	31797	30288	20733	20497	377024	386815	75446	67400	0	0	0	0	4999	5000	1	0	2263	2266	1174	1225	4999	5000	5000	4990	18	17	22	20	94	74	0	0
4722	baseline	1	25661	25810	37528	38295	402607	406428	39204	34467	0	0	0	0	5000	5000	0	0	2952	2985	2096	2131	5000	5000	5000	4990	9	9	14	13	93	70	0	0
4722	baseline	2	26173	26083	37980	37670	404677	409451	36170	31796	0	0	0	0	5000	5000	0	0	2966	2986	2110	2083	5000	5000	5000	4990	9	8	14	12	89	90	0	0
4722	baseline	3	26128	25516	37956	38296	405211	408938	35705	32250	0	0	0	0	5000	5000	0	0	3023	3015	2126	2145	5000	5000	5000	4990	9	8	13	13	71	88	0	0
4723	baseline	1	21342	21544	26270	26416	378762	385996	78626	71044	0	0	0	0	5000	5000	0	0	1868	1953	1642	1671	5000	5000	5000	4990	17	17	21	20	74	66	0	0
4723	baseline	2	21785	21269	26333	26229	382360	390440	74522	67062	0	0	0	0	4998	5000	2	0	1905	1991	1592	1708	4998	5000	5000	4990	17	16	20	19	67	63	0	0
4723	baseline	3	21874	21703	26464	26135	385780	394257	70882	62905	0	0	0	0	5000	5000	0	0	1924	2005	1648	1639	5000	5000	5000	4990	17	15	20	19	64	65	0	0
