point_id	scenario	seed	cum_E_adult	cum_E_child	cum_I_adult	cum_I_child	cum_R_adult	cum_R_child	cum_S_adult	cum_S_child	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
6	baseline	1	18075	17747	27599	27749	424863	428561	34463	30943	0	0	0	0	5000	5000	0	0	2675	2636	2109	2098	5000	5000	5000	4990	8	7	11	10	71	57	0	0
6	baseline	2	18227	17961	27980	27784	426571	430283	32222	28972	0	0	0	0	5000	5000	0	0	2655	2818	2130	2151	5000	5000	5000	4990	8	7	11	11	63	54	0	0
6	baseline	3	18498	18088	28404	27731	425972	430277	32126	28904	0	0	0	0	5000	5000	0	0	2696	2797	2149	2161	5000	5000	5000	4990	8	7	11	10	56	57	0	0
7	baseline	1	11322	11231	12844	13086	430000	434976	50834	45707	0	0	0	0	4993	4998	7	2	1730	1737	1458	1523	4993	4998	5000	4990	11	10	13	12	39	36	0	0
7	baseline	2	11469	11413	13025	12931	437638	442271	42868	38385	0	0	0	0	4997	4998	3	2	1687	1767	1430	1520	4997	4998	5000	4990	10	9	12	11	35	36	0	0
7	baseline	3	11812	11544	13103	12839	434625	440116	45460	40501	0	0	0	0	4994	5000	6	0	1744	1758	1454	1457	4994	5000	5000	4990	10	9	12	11	35	34	0	0
8	baseline	1	7104	7237	92685	91282	378045	382318	27166	24163	0	0	29	35	4971	4965	0	0	1941	1942	3941	3972	4971	4965	5000	4990	6	5	9	9	99	100	0	0
8	baseline	2	7281	7230	91726	90837	380376	383538	25617	23395	0	0	29	35	4971	4965	0	0	1906	2080	3926	3977	4971	4965	5000	4990	6	5	9	9	100	100	0	0
8	baseline	3	7224	7399	92365	90854	381270	384945	24141	21802	0	0	33	28	4967	4972	0	0	1913	2105	3982	3916	4967	4972	5000	4990	5	5	9	8	100	100	0	0
9	baseline	1	41795	41333	42264	43065	360568	367038	60373	53564	0	0	1	0	4999	5000	0	0	2982	2928	1762	1766	4999	5000	5000	4990	15	13	21	20	95	100	0	0
9	baseline	2	41605	41206	42632	43367	366869	372132	53894	48295	0	0	3	0	4997	5000	0	0	2947	3011	1783	1804	4997	5000	5000	4990	14	13	20	18	98	90	0	0
9	baseline	3	42328	41622	43210	42916	364404	371375	55058	49087	0	1	2	1	4998	4998	0	0	2978	3052	1794	1788	4998	4998	5000	4990	14	13	19	18	90	98	0	0
10	baseline	1	26303	26057	19659	19836	417756	422639	41282	36468	0	0	0	0	5000	5000	0	0	2785	2866	1427	1483	5000	5000	5000	4990	10	9	13	12	63	55	0	0
10	baseline	2	26291	26303	20221	19834	417829	422919	40659	35944	0	0	0	0	5000	5000	0	0	2768	2889	1446	1510	5000	5000	5000	4990	10	9	13	12	63	57	0	0
10	baseline	3	26225	26038	20248	19807	419082	423787	39445	35368	0	0	0	0	5000	5000	0	0	2813	2895	1460	1509	5000	5000	5000	4990	10	9	13	12	63	60	0	0
11	baseline	1	16538	16427	72204	70235	372820	379277	43438	39061	0	0	9	6	4991	4994	0	0	2377	2387	3092	3064	4991	4994	5000	4990	10	9	15	14	100	96	0	0
11	baseline	2	16615	16665	71691	71064	376710	381245	39984	36026	0	0	10	4	4990	4996	0	0	2372	2421	3116	3123	4990	4996	5000	4990	9	9	14	14	99	100	0	0
11	baseline	3	16334	16361	71104	70699	378417	382605	39145	35335	0	0	7	12	4993	4988	0	0	2345	2390	3127	3179	4993	4988	5000	4990	9	9	14	13	99	99	0	0
12	baseline	1	10280	10572	33508	32925	431207	434212	30005	27291	0	0	0	0	5000	5000	0	0	2203	2293	2801	2759	5000	5000	5000	4990	7	6	9	9	71	57	0	0
12	baseline	2	10698	10326	32848	32550	432507	435360	28947	26764	0	0	0	0	5000	5000	0	0	2164	2322	2711	2834	5000	5000	5000	4990	7	6	9	9	63	56	0	0
12	baseline	3	10580	10287	32891	32859	434381	437358	27148	24496	0	0	0	0	5000	5000	0	0	2271	2250	2767	2808	5000	5000	5000	4990	6	6	9	8	60	59	0	0
13	baseline	1	6437	6555	15389	15596	452896	455265	30278	27584	0	0	0	0	5000	5000	0	0	1550	1706	2219	2258	5000	5000	5000	4990	6	6	8	8	33	37	0	0
13	baseline	2	6591	6510	15633	15263	453371	456619	29405	26608	0	0	0	0	4999	5000	1	0	1546	1697	2221	2229	4999	5000	5000	4990	6	6	8	7	35	35	0	0
13	baseline	3	6642	6692	15631	15261	454079	456902	28648	26145	0	0	0	0	5000	5000	0	0	1653	1722	2236	2197	5000	5000	5000	4990	6	6	8	7	34	38	0	0
14	baseline	1	37226	37971	55765	54616	369205	375025	42804	37388	0	0	2	3	4998	4997	0	0	3223	3232	2162	2112	4998	4997	5000	4990	11	10	17	16	99	98	0	0
14	baseline	2	38132	37674	55801	54757	370967	376841	40100	35728	0	0	5	3	4995	4997	0	0	3252	3307	2142	2148	4995	4997	5000	4990	10	9	16	15	97	95	0	0
14	baseline	3	37765	38223	55155	55921	374763	377829	37317	33027	0	0	2	4	4998	4996	0	0	3207	3315	2108	2111	4998	4996	5000	4990	10	9	16	15	99	100	0	0
15	baseline	1	23333	23763	25576	25818	397321	402707	58770	52712	0	0	0	0	5000	5000	0	0	2327	2418	1702	1697	5000	5000	5000	4990	13	13	17	16	71	64	0	0
15	baseline	2	24022	24060	25384	25421	400349	405846	55245	49673	0	0	0	0	5000	5000	0	0	2340	2439	1628	1717	5000	5000	5000	4990	13	12	16	15	78	58	0	0
15	baseline	3	24781	23678	25856	25302	401709	408368	52654	47652	0	0	0	0	5000	5000	0	0	2395	2407	1633	1631	5000	5000	5000	4990	13	12	17	15	62	65	0	0
16	baseline	1	14943	15141	11949	11714	437696	442950	40412	35195	0	0	0	0	5000	5000	0	0	2176	2187	1338	1300	5000	5000	5000	4990	9	8	11	10	39	35	0	0
16	baseline	2	14766	15140	11992	11993	438035	441873	40207	35994	0	0	0	0	4997	5000	3	0	2118	2194	1251	1384	4997	5000	5000	4990	9	8	11	10	42	34	0	0
16	baseline	3	15503	15065	11870	11994	437502	442046	40125	35895	0	0	0	0	5000	5000	0	0	2157	2182	1275	1353	5000	5000	5000	4990	9	9	12	10	41	38	0	0
17	baseline	1	9467	9512	84515	84223	377919	381229	33099	30036	0	0	21	16	4979	4984	0	0	2028	2077	3689	3728	4979	4984	5000	4990	7	7	11	11	99	100	0	0
17	baseline	2	9795	9470	83196	84273	380523	382398	31486	28859	0	0	20	21	4980	4979	0	0	2047	2026	3609	3692	4980	4979	5000	4990	7	7	11	11	97	100	0	0
17	baseline	3	9526	9821	84336	85688	380762	382074	30376	27417	0	0	24	21	4976	4979	0	0	2049	2051	3695	3654	4976	4979	5000	4990	7	6	11	10	100	99	0	0
18	baseline	1	5892	5980	39951	39257	435499	438453	23658	21310	0	0	0	0	5000	5000	0	0	1953	1839	3433	3396	5000	5000	5000	4990	5	5	7	7	74	66	0	0
18	baseline	2	6139	6009	39089	39121	436511	438543	23261	21327	0	0	0	0	5000	5000	0	0	1923	1859	3345	3396	5000	5000	5000	4990	5	5	7	7	88	67	0	0
18	baseline	3	6124	6012	39241	38981	438123	440409	21512	19598	0	0	0	0	5000	5000	0	0	1863	1923	3388	3439	5000	5000	5000	4990	5	4	7	6	67	73	0	0
19	baseline	1	33826	34949	18127	18465	383788	389286	69259	62300	0	0	0	0	5000	5000	0	0	2475	2628	1085	1092	5000	5000	5000	4990	17	15	20	19	79	82	0	0
19	baseline	2	34479	34797	18428	18376	383872	388163	68221	63664	0	0	0	0	5000	5000	0	0	2448	2618	1059	1154	5000	5000	5000	4990	17	16	19	19	75	90	0	0
19	baseline	3	35539	33793	18395	17861	388028	396813	63038	56533	0	0	0	0	4999	5000	1	0	2578	2555	1071	1084	4999	5000	5000	4990	16	14	19	18	83	74	0	0
20	baseline	1	21215	21793	66151	64424	378888	384787	38746	33996	0	0	4	5	4996	4995	0	0	2812	2850	2822	2806	4996	4995	5000	4990	9	8	15	14	99	97	0	0
20	baseline	2	22183	21946	65481	65401	381584	386135	35752	31518	0	0	6	3	4994	4997	0	0	2774	2814	2796	2787	4994	4997	5000	4990	9	8	14	13	99	97	0	0
20	baseline	3	21851	21799	66074	64517	382575	387732	34500	30952	0	0	5	6	4995	4994	0	0	2782	2852	2857	2850	4995	4994	5000	4990	8	8	14	13	96	97	0	0
21	baseline	1	13696	13650	30321	30229	423366	427861	37617	33260	0	0	0	0	5000	5000	0	0	2243	2241	2392	2391	5000	5000	5000	4990	9	8	11	11	71	57	0	0
21	baseline	2	13966	13714	30375	30573	426157	429622	34502	31091	0	0	0	0	5000	5000	0	0	2262	2376	2384	2445	5000	5000	5000	4990	8	7	11	11	63	56	0	0
21	baseline	3	13802	13582	30704	30307	425141	429098	35353	32013	0	0	0	0	5000	5000	0	0	2295	2321	2435	2432	5000	5000	5000	4990	8	7	11	10	60	59	0	0
22	baseline	1	8648	8721	14141	13994	454929	457937	27282	24348	0	0	0	0	5000	5000	0	0	2086	2013	2003	1982	5000	5000	5000	4990	6	5	8	7	33	36	0	0
22	baseline	2	8724	8566	14238	14171	454841	457423	27197	24840	0	0	0	0	5000	5000	0	0	2071	2054	1980	2106	5000	5000	5000	4990	6	6	8	7	36	31	0	0
22	baseline	3	8790	8628	14395	14161	456370	459344	25445	22867	0	0	0	0	5000	5000	0	0	2102	2187	2024	1989	5000	5000	5000	4990	6	5	7	7	34	36	0	0
23	baseline	1	5388	5482	50895	50843	418060	420738	30657	27937	0	0	0	1	5000	4999	0	0	1376	1561	3545	3603	5000	4999	5000	4990	7	6	9	8	80	74	0	0
23	baseline	2	5422	5487	50008	50563	420394	422348	29176	26602	0	0	0	1	5000	4999	0	0	1437	1531	3533	3646	5000	4999	5000	4990	6	6	9	8	94	96	0	0
23	baseline	3	5526	5517	51072	51835	420305	422031	28097	25617	0	0	1	0	4999	5000	0	0	1540	1514	3564	3612	4999	5000	5000	4990	6	6	9	8	79	90	0	0
24	baseline	1	47812	48951	23677	23454	376151	382779	57360	49816	0	1	1	0	4999	4999	0	0	3052	3161	1137	1113	4999	4999	5000	4990	15	13	18	18	97	99	0	0
24	baseline	2	49430	48073	23400	23438	374234	382117	57936	51372	0	0	0	2	5000	4998	0	0	3057	3145	1117	1151	5000	4998	5000	4990	15	13	19	18	96	85	0	0
24	baseline	3	50432	49420	23629	23595	372721	379099	58218	52886	1	1	1	0	4998	4999	0	0	3094	3173	1084	1135	4998	4999	5000	4990	15	14	19	18	97	98	0	0
25	baseline	1	30629	30790	10814	11012	394566	402420	68991	60778	0	0	0	0	4996	5000	4	0	2294	2392	739	758	4996	5000	5000	4990	16	15	19	17	67	75	0	0
25	baseline	2	31097	31059	10794	11017	396614	403849	66495	59075	0	0	0	0	4994	4999	6	1	2313	2424	708	778	4994	4999	5000	4990	16	14	17	17	69	60	0	0
25	baseline	3	31508	30733	10884	10953	400332	409467	62276	53847	0	0	0	0	4995	5000	5	0	2349	2435	700	781	4995	5000	5000	4990	15	14	17	16	64	64	0	0
26	baseline	1	19260	19517	97798	96364	354008	358880	33934	30239	0	0	47	48	4953	4952	0	0	2847	2835	3302	3277	4953	4952	5000	4990	8	7	14	14	100	100	0	0
26	baseline	2	19973	19226	96907	95835	355982	361120	32138	28819	0	0	45	43	4955	4957	0	0	2813	2919	3301	3296	4955	4957	5000	4990	8	7	14	13	100	100	0	0
26	baseline	3	19995	20041	96198	97933	358306	359730	30501	27296	0	0	61	47	4939	4953	0	0	2767	2932	3244	3305	4939	4953	5000	4990	7	7	14	13	99	100	0	0
27	baseline	1	12167	12448	45235	44367	408970	414149	38628	34036	0	0	0	1	5000	4999	0	0	2148	2150	2894	2835	5000	4999	5000	4990	9	8	12	11	80	72	0	0
27	baseline	2	12446	12282	45793	44170	411104	416233	35657	32315	0	0	0	0	5000	5000	0	0	2106	2171	2876	2965	5000	5000	5000	4990	8	7	12	11	92	94	0	0
27	baseline	3	12574	12130	45567	45333	411795	415751	35064	31786	0	0	0	1	5000	4999	0	0	2211	2212	2900	2986	5000	4999	5000	4990	8	7	12	11	77	90	0	0
28	baseline	1	7753	7841	21168	21040	448970	451879	27109	24240	0	0	0	0	5000	5000	0	0	1958	1930	2528	2496	5000	5000	5000	4990	6	5	8	7	42	41	0	0
28	baseline	2	7827	7711	21247	20617	449068	452216	26858	24456	0	0	0	0	5000	5000	0	0	1998	1952	2507	2576	5000	5000	5000	4990	6	5	8	7	45	48	0	0
28	baseline	3	7909	7704	21368	21117	450393	453145	25330	23034	0	0	0	0	5000	5000	0	0	1964	2101	2556	2556	5000	5000	5000	4990	6	5	8	7	41	44	0	0
29	baseline	1	44451	45061	74977	74652	329052	335378	56520	49909	0	0	33	29	4967	4971	0	0	3160	3231	2289	2252	4967	4971	5000	4990	14	13	22	21	99	100	0	0
29	baseline	2	44920	44385	75133	74068	333424	340371	51523	46176	0	0	30	27	4970	4973	0	0	3172	3193	2301	2277	4970	4973	5000	4990	13	12	22	19	100	100	0	0
29	baseline	3	45616	45369	76548	74715	333675	340888	49161	44028	0	0	38	33	4962	4967	0	0	3160	3243	2267	2260	4962	4967	5000	4990	13	11	23	21	100	100	0	0
30	baseline	1	27791	27980	34516	35768	403277	406772	39416	34480	0	0	0	0	5000	5000	0	0	3024	3072	1949	1989	5000	5000	5000	4990	9	9	14	13	76	78	0	0
30	baseline	2	28412	28102	35486	34242	404769	410795	36333	31861	0	0	0	0	5000	5000	0	0	3048	3093	1975	1976	5000	5000	5000	4990	9	8	14	12	89	90	0	0
30	baseline	3	28208	28232	35211	35484	405576	408746	36005	32538	0	0	0	0	5000	5000	0	0	3075	3123	1997	1987	5000	5000	5000	4990	9	8	13	13	69	73	0	0
31	baseline	1	17736	17712	16223	16219	413622	419038	57419	52031	0	0	0	0	5000	5000	0	0	2049	2042	1384	1382	5000	5000	5000	4990	13	12	15	14	51	49	0	0
31	baseline	2	17696	17595	16430	16402	416262	421870	54612	49133	0	0	0	0	4997	5000	3	0	1991	2066	1355	1448	4997	5000	5000	4990	13	11	16	13	49	54	0	0
31	baseline	3	18144	18183	16266	16352	419195	424643	51395	45822	0	0	0	0	4998	5000	2	0	2037	2116	1366	1381	4998	5000	5000	4990	12	11	15	14	56	46	0	0
32	baseline	1	11233	11156	58433	57206	402714	407119	32620	29519	0	0	1	1	4999	4999	0	0	2257	2286	3279	3236	4999	4999	5000	4990	7	7	11	11	96	97	0	0
32	baseline	2	11522	11446	58192	57243	404860	408326	30426	27985	0	0	3	0	4997	5000	0	0	2243	2247	3201	3256	4997	5000	5000	4990	7	6	11	10	98	100	0	0
32	baseline	3	11396	11517	58258	58593	405728	408086	29618	26804	0	0	2	3	4998	4997	0	0	2254	2297	3227	3235	4998	4997	5000	4990	7	6	11	10	90	96	0	0
33	baseline	1	6973	6996	27146	26841	439365	442561	31516	28602	0	0	0	0	5000	5000	0	0	1719	1723	2821	2808	5000	5000	5000	4990	7	6	9	8	57	48	0	0
33	baseline	2	7127	7053	27388	26667	440072	443464	30413	27816	0	0	0	0	5000	5000	0	0	1630	1773	2772	2796	5000	5000	5000	4990	7	6	9	8	52	63	0	0
33	baseline	3	7296	7072	27302	26986	440525	443827	29877	27115	0	0	0	0	5000	5000	0	0	1655	1744	2774	2806	5000	5000	5000	4990	7	6	9	8	57	51	0	0
34	baseline	1	40163	41000	12623	12486	396940	403401	55274	48113	0	0	0	0	5000	5000	0	0	2785	2867	765	769	5000	5000	5000	4990	14	13	16	15	82	98	0	0
34	baseline	2	40149	40760	12705	12572	395759	401798	56387	49870	0	0	0	0	5000	5000	0	0	2785	2942	787	796	5000	5000	5000	4990	14	13	16	16	89	90	0	0
34	baseline	3	41383	41254	12682	12757	394078	400504	56857	50485	1	0	0	0	4999	5000	0	0	2800	2941	727	776	4999	5000	5000	4990	14	13	16	16	98	77	0	0
35	baseline	1	25322	25577	89779	89116	337738	343123	52161	47184	0	0	42	44	4958	4956	0	0	2637	2660	2999	2941	4958	4956	5000	4990	12	11	19	18	100	100	0	0
35	baseline	2	26129	25323	90034	87631	341002	348746	47835	43300	0	0	39	46	4961	4954	0	0	2622	2704	2956	2942	4961	4954	5000	4990	12	11	19	17	100	100	0	0
35	baseline	3	26061	26174	88737	88816	343770	347772	46432	42238	0	0	51	40	4949	4960	0	0	2630	2741	2915	2994	4949	4960	5000	4990	11	11	19	17	100	100	0	0
36	baseline	1	16252	16221	41865	40972	410654	415626	36229	32181	0	0	0	0	5000	5000	0	0	2497	2506	2606	2556	5000	5000	5000	4990	8	8	12	12	93	70	0	0
36	baseline	2	16684	16248	41977	41280	413161	417821	33178	29651	0	0	0	0	5000	5000	0	0	2554	2663	2606	2639	5000	5000	5000	4990	8	7	12	11	89	90	0	0
36	baseline	3	16519	15907	41825	41328	413495	417756	33161	30009	0	0	1	0	4999	5000	0	0	2588	2657	2621	2688	4999	5000	5000	4990	8	7	12	11	73	90	0	0
37	baseline	1	10227	10290	19344	19428	440057	443646	35372	31636	0	0	0	0	5000	5000	0	0	1935	1971	2098	2081	5000	5000	5000	4990	8	7	10	9	42	40	0	0
37	baseline	2	10386	10090	19307	19394	441803	445073	33504	30443	0	0	0	0	5000	5000	0	0	1920	2062	2093	2205	5000	5000	5000	4990	8	7	10	9	43	43	0	0
37	baseline	3	10505	10233	19506	19149	441760	445886	33229	29732	0	0	0	0	5000	5000	0	0	1933	2047	2153	2122	5000	5000	5000	4990	8	7	10	9	43	44	0	0
38	baseline	1	6411	6410	69342	68610	406276	409332	22971	20648	0	0	4	5	4996	4995	0	0	2119	1875	3814	3831	4996	4995	5000	4990	5	5	8	7	99	98	0	0
38	baseline	2	6604	6456	69387	67369	406753	410661	22256	20514	0	0	6	3	4994	4997	0	0	2053	1935	3788	3829	4994	4997	5000	4990	5	4	8	7	99	97	0	0
38	baseline	3	6569	6542	69374	69775	408496	409998	20561	18685	0	0	3	8	4997	4992	0	0	1872	2150	3824	3847	4997	4992	5000	4990	5	4	7	7	96	97	0	0
39	baseline	1	37335	37753	32124	32342	368990	375509	66551	59396	0	0	0	0	5000	5000	0	0	2701	2777	1568	1557	5000	5000	5000	4990	16	15	21	20	93	88	0	0
39	baseline	2	37539	37975	32627	32248	374225	380784	60609	53993	0	0	0	1	5000	4999	0	0	2721	2794	1548	1568	5000	4999	5000	4990	15	13	20	18	93	94	0	0
39	baseline	3	37767	36789	32688	32142	373931	381708	60614	54361	1	0	0	0	4999	5000	0	0	2801	2794	1568	1565	4999	5000	5000	4990	15	14	19	18	92	83	0	0
40	baseline	1	23288	23722	14756	15108	421500	425757	45456	40413	0	0	0	0	5000	5000	0	0	2517	2506	1206	1242	5000	5000	5000	4990	11	10	13	12	51	57	0	0
40	baseline	2	23400	23868	14934	15178	421517	426068	45149	39886	0	0	0	0	5000	5000	0	0	2501	2599	1200	1285	5000	5000	5000	4990	11	10	13	12	52	52	0	0
40	baseline	3	23978	24388	15151	14906	420173	424939	45698	40767	0	0	0	0	5000	5000	0	0	2566	2575	1195	1214	5000	5000	5000	4990	11	10	13	12	60	51	0	0
41	baseline	1	14404	14764	53962	53038	397547	402918	39087	34280	0	0	0	1	5000	4999	0	0	2359	2375	2965	2914	5000	4999	5000	4990	9	8	13	12	95	90	0	0
41	baseline	2	15136	14762	54138	53691	399351	403731	36375	32816	0	0	2	0	4998	5000	0	0	2289	2373	2898	2952	4998	5000	5000	4990	9	8	13	12	96	98	0	0
41	baseline	3	14922	14734	53757	53762	401310	405049	35011	31455	0	0	1	1	4999	4999	0	0	2364	2417	2938	2992	4999	4999	5000	4990	8	7	12	11	99	94	0	0
42	baseline	1	9323	9489	25040	24796	443516	446630	27121	24085	0	0	0	0	5000	5000	0	0	2190	2118	2562	2558	5000	5000	5000	4990	6	5	8	8	53	46	0	0
42	baseline	2	9454	9394	25038	24762	443771	446204	26737	24640	0	0	0	0	5000	5000	0	0	2180	2140	2579	2583	5000	5000	5000	4990	6	6	8	8	50	50	0	0
42	baseline	3	9562	9444	24861	25204	445404	447639	25173	22713	0	0	0	0	5000	5000	0	0	2227	2310	2580	2580	5000	5000	5000	4990	6	5	8	7	57	49	0	0
43	baseline	1	5901	5741	11578	11684	452912	457035	34609	30540	0	0	0	0	4993	4999	7	1	1402	1335	1800	1883	4993	4999	5000	4990	7	7	9	8	29	28	0	0
43	baseline	2	5979	5746	11612	11530	453994	457801	33415	29923	0	0	0	0	4991	4998	9	2	1338	1340	1750	1900	4991	4998	5000	4990	7	6	8	8	28	29	0	0
43	baseline	3	6086	6007	11719	11491	453024	457435	34171	30067	0	0	0	0	4988	4998	12	2	1384	1378	1785	1828	4988	4998	5000	4990	7	7	9	8	33	34	0	0
44	baseline	1	33070	34340	82744	81306	343767	349403	45419	39951	0	0	30	32	4970	4968	0	0	3105	3180	2674	2628	4970	4968	5000	4990	11	10	19	18	99	100	0	0
44	baseline	2	34284	33562	82676	80309	346818	354223	41222	36906	0	0	29	35	4971	4965	0	0	3104	3167	2662	2623	4971	4965	5000	4990	10	9	18	16	100	100	0	0
44	baseline	3	34903	34021	81378	82086	349560	353664	39159	35229	0	0	32	29	4968	4971	0	0	3112	3221	2587	2657	4968	4971	5000	4990	10	9	19	17	100	100	0	0
45	baseline	1	21524	21329	38333	38284	402298	407719	42845	37668	0	0	0	0	5000	5000	0	0	2641	2629	2252	2234	5000	5000	5000	4990	10	9	14	13	76	93	0	0
45	baseline	2	21589	21522	38426	38700	404665	408997	40320	35781	0	0	0	0	5000	5000	0	0	2603	2700	2273	2296	5000	5000	5000	4990	10	9	14	13	89	90	0	0
45	baseline	3	21546	20858	38559	37319	404913	410633	39982	36190	0	0	0	0	5000	5000	0	0	2621	2725	2256	2279	5000	5000	5000	4990	10	9	14	13	71	88	0	0
46	baseline	1	13404	13528	17870	17752	443945	447057	29781	26663	0	0	0	0	5000	5000	0	0	2482	2515	1938	1909	5000	5000	5000	4990	7	6	9	8	42	37	0	0
46	baseline	2	13607	13484	17721	17517	443478	446142	30194	27857	0	0	0	0	5000	5000	0	0	2452	2445	1873	1947	5000	5000	5000	4990	7	7	9	9	39	43	0	0
46	baseline	3	13723	13511	17984	17617	444756	448158	28537	25714	0	0	0	0	5000	5000	0	0	2479	2532	1937	1916	5000	5000	5000	4990	7	6	9	8	39	44	0	0
47	baseline	1	8439	8347	63724	61749	395573	401279	37264	33625	0	0	2	3	4998	4997	0	0	1794	1761	3507	3504	4998	4997	5000	4990	8	7	12	11	99	98	0	0
47	baseline	2	8697	8568	64153	64810	398847	401325	33303	30297	0	0	5	3	4995	4997	0	0	1764	1890	3451	3532	4995	4997	5000	4990	7	7	11	10	97	95	0	0
47	baseline	3	8613	8677	63930	62961	399479	403609	32978	29753	0	0	4	1	4996	4999	0	0	1777	1887	3484	3507	4996	4999	5000	4990	7	7	11	10	92	100	0	0
48	baseline	1	5366	5321	29618	29238	444219	447193	25797	23248	0	0	0	0	5000	5000	0	0	1574	1717	3146	3148	5000	5000	5000	4990	5	5	7	7	57	55	0	0
48	baseline	2	5457	5436	29843	29296	445177	447815	24523	22453	0	0	0	0	5000	5000	0	0	1665	1771	3136	3184	5000	5000	5000	4990	5	5	7	7	54	63	0	0
48	baseline	3	5585	5280	29645	29476	446409	448939	23361	21305	0	0	0	0	5000	5000	0	0	1746	1681	3148	3193	5000	5000	5000	4990	5	5	7	6	53	57	0	0
49	baseline	1	47897	47403	13583	13650	364097	374501	79423	69446	1	1	0	1	4999	4998	0	0	2605	2681	679	686	4999	4998	5000	4990	20	18	22	20	97	90	0	0
49	baseline	2	48184	48280	14018	13603	364801	372970	77997	70147	0	1	1	0	4995	4999	4	0	2555	2703	656	689	4995	4999	5000	4990	20	18	22	21	99	97	0	0
49	baseline	3	48304	47684	13682	13863	365283	375023	77731	68430	2	1	0	0	4997	4999	1	0	2661	2689	708	692	4997	4999	5000	4990	20	18	22	19	94	93	0	0
