point_id	scenario	seed	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	integral_E_adult	integral_E_child	integral_I_adult	integral_I_child	integral_R_adult	integral_R_child	integral_S_adult	integral_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
2839	baseline	3	0	0	45	35	4955	4965	0	0	15099	14771	87289	86382	348620	354405	53992	49442	1881	1931	3290	3324	4955	4965	5000	4990	13	12	18	17	100	100	0	0
2840	baseline	1	0	0	0	0	5000	5000	0	0	9200	9210	40646	40522	409499	413271	45655	41997	1607	1643	2889	2893	5000	5000	5000	4990	10	9	13	12	93	70	0	0
2840	baseline	2	0	0	0	0	5000	5000	0	0	9344	9289	40661	39603	413415	418010	41580	38098	1617	1701	2853	2944	5000	5000	5000	4990	9	9	12	12	89	90	0	0
2840	baseline	3	0	0	0	0	5000	5000	0	0	9468	9501	40733	40374	413163	416834	41636	38291	1632	1734	2908	2864	5000	5000	5000	4990	9	9	12	12	71	88	0	0
2841	baseline	1	0	0	0	0	5000	5000	0	0	5750	5775	18890	18702	446667	450131	33693	30392	1417	1374	2477	2470	5000	5000	5000	4990	7	7	9	8	39	42	0	0
2841	baseline	2	0	0	0	0	4999	5000	1	0	5852	5895	18466	18782	447923	450400	32759	29923	1383	1402	2365	2453	4999	5000	5000	4990	7	7	9	8	42	37	0	0
2841	baseline	3	0	0	0	0	5000	5000	0	0	6052	5998	18761	18672	447443	450567	32744	29763	1437	1435	2392	2440	5000	5000	5000	4990	7	7	9	8	39	44	0	0
2842	baseline	1	0	0	12	8	4988	4992	0	0	33901	33674	67404	68154	352751	358385	50944	44787	2949	2948	2418	2403	4988	4992	5000	4990	12	11	19	18	98	100	0	0
2842	baseline	2	0	0	10	10	4990	4990	0	0	33737	34047	67022	67968	356027	359453	48214	43532	2929	3034	2403	2493	4990	4990	5000	4990	12	11	19	19	100	100	0	0
2842	baseline	3	0	0	11	11	4989	4989	0	0	34117	33635	67679	66716	357121	363120	46083	41529	2935	3014	2425	2425	4989	4989	5000	4990	12	11	19	18	100	99	0	0
2843	baseline	1	0	0	0	0	5000	5000	0	0	20747	21460	31295	31390	414105	418121	38853	34029	2750	2767	2147	2082	5000	5000	5000	4990	9	8	13	12	71	64	0	0
2843	baseline	2	0	0	0	0	5000	5000	0	0	21364	21319	30981	31427	416805	420553	35850	31701	2722	2769	2069	2112	5000	5000	5000	4990	9	8	12	11	63	56	0	0
2843	baseline	3	0	0	0	0	5000	5000	0	0	21758	21622	31688	31201	416105	420411	35449	31766	2762	2796	2028	2049	5000	5000	5000	4990	9	8	13	12	64	65	0	0
2844	baseline	1	0	0	0	0	5000	5000	0	0	13030	13264	14591	14463	447935	450857	29444	26416	2470	2554	1709	1757	5000	5000	5000	4990	7	6	9	8	37	36	0	0
2844	baseline	2	0	0	0	0	5000	5000	0	0	13541	13500	14592	14462	446853	449131	30014	27907	2453	2458	1657	1756	5000	5000	5000	4990	7	7	9	9	37	41	0	0
2844	baseline	3	0	0	0	0	5000	5000	0	0	13686	13337	14644	14382	448428	451976	28242	25305	2448	2540	1688	1726	5000	5000	5000	4990	7	6	9	8	34	36	0	0
2845	baseline	1	0	0	1	0	4999	5000	0	0	8381	8407	52361	50964	385808	392778	58450	52851	1282	1251	3074	3012	4999	5000	5000	4990	13	11	16	15	97	100	0	0
